Quantity, Footprint, Comment, Description
4,"EIA3528","100uF/6V",C4 C3 C2 C1 
2,"TSSOP28","pca9685",U3 U5 
32,"0402","220",R16 R18 R6 R4 R5 R3 R2 R1 R0 R22 R20 R21 R19 R17 R9 R8 R11 R12 R10 R13 R14 R15 R23 R25 R24 R27 R28 R26 R29 R30 R31 R7 
7,"0402","10k",R35 R34 R33 R32 R37 R36 R38 
2,"0402","0.1uF",C6 C5 
1,"3x6sw","3x6sw",S1 
3,"0805","unknown",LED1 LED0 LED2 
